Sample in Buffer,Sample in Window,TRIGGER,ANC_SYSTEM/Wanc[0]_24[23:0],ANC_SYSTEM/Wanc[1]_25[23:0],ANC_SYSTEM/Wanc[2]_26[23:0],ANC_SYSTEM/Wanc[3]_27[23:0],ANC_SYSTEM/Wanc[4]_28[23:0],ANC_SYSTEM/Wanc[5]_29[23:0],ANC_SYSTEM/Wanc[6]_30[23:0],ANC_SYSTEM/Wanc[7]_31[23:0],ANC_SYSTEM/Wanc[8]_32[23:0],ANC_SYSTEM/Wanc[9]_33[23:0],ANC_SYSTEM/Wanc[10]_34[23:0],ANC_SYSTEM/Wanc[11]_35[23:0],ANC_SYSTEM/Wanc[12]_36[23:0],ANC_SYSTEM/Wanc[13]_37[23:0],ANC_SYSTEM/Wanc[14]_38[23:0],ANC_SYSTEM/Wanc[15]_39[23:0],ANC_SYSTEM/Wanc[16]_40[23:0],ANC_SYSTEM/Wanc[17]_41[23:0],ANC_SYSTEM/Wanc[18]_42[23:0],ANC_SYSTEM/Wanc[19]_43[23:0],ANC_SYSTEM/Wanc[20]_44[23:0],ANC_SYSTEM/Wanc[21]_45[23:0],ANC_SYSTEM/Wanc[22]_46[23:0],ANC_SYSTEM/Wanc[23]_47[23:0],ANC_SYSTEM/Wanc[24]_48[23:0],ANC_SYSTEM/Wanc[25]_49[23:0],ANC_SYSTEM/Wanc[26]_50[23:0],ANC_SYSTEM/Wanc[27]_51[23:0],ANC_SYSTEM/Wanc[28]_52[23:0],ANC_SYSTEM/Wanc[29]_53[23:0],ANC_SYSTEM/Wanc[30]_54[23:0],ANC_SYSTEM/Wanc[31]_55[23:0]
Radix - UNSIGNED,UNSIGNED,UNSIGNED,SIGNED,SIGNED,SIGNED,SIGNED,SIGNED,SIGNED,SIGNED,SIGNED,SIGNED,SIGNED,SIGNED,SIGNED,SIGNED,SIGNED,SIGNED,SIGNED,SIGNED,SIGNED,SIGNED,SIGNED,SIGNED,SIGNED,SIGNED,SIGNED,SIGNED,SIGNED,SIGNED,SIGNED,SIGNED,SIGNED,SIGNED,SIGNED
26,26,0,703877,1079208,1465745,1859940,2259271,2663428,3071022,3480325,3890824,4297098,4691512,5065791,5411633,5719034,5981393,6192720,6350614,6452796,6500266,6492889,6433395,6326938,6166469,5943896,5660233,5320946,4955526,4592424,4229614,3862953,3489600,3122112
27,27,0,703877,1079208,1465745,1859940,2259271,2663428,3071022,3480325,3890824,4297098,4691512,5065791,5411633,5719034,5981393,6192720,6350614,6452796,6500266,6492889,6433395,6326938,6166469,5943896,5660233,5320946,4955526,4592424,4229614,3862953,3489600,3122112
28,28,0,703877,1079208,1465745,1859940,2259271,2663428,3071022,3480325,3890824,4297098,4691512,5065791,5411633,5719034,5981393,6192720,6350614,6452796,6500266,6492889,6433395,6326938,6166469,5943896,5660233,5320946,4955526,4592424,4229614,3862953,3489600,3122112
29,29,0,703887,1079211,1465746,1859949,2259286,2663445,3071042,3480340,3890830,4297102,4691520,5065803,5411647,5719049,5981408,6192733,6350626,6452815,6500294,6492919,6433418,6326948,6166467,5943889,5660222,5320935,4955523,4592423,4229609,3862943,3489582,3122094
30,30,0,703887,1079211,1465746,1859949,2259286,2663445,3071042,3480340,3890830,4297102,4691520,5065803,5411647,5719049,5981408,6192733,6350626,6452815,6500294,6492919,6433418,6326948,6166467,5943889,5660222,5320935,4955523,4592423,4229609,3862943,3489582,3122094
31,31,0,703887,1079211,1465746,1859949,2259286,2663445,3071042,3480340,3890830,4297102,4691520,5065803,5411647,5719049,5981408,6192733,6350626,6452815,6500294,6492919,6433418,6326948,6166467,5943889,5660222,5320935,4955523,4592423,4229609,3862943,3489582,3122094
32,32,0,703887,1079211,1465746,1859949,2259286,2663445,3071042,3480340,3890830,4297102,4691520,5065803,5411647,5719049,5981408,6192733,6350626,6452815,6500294,6492919,6433418,6326948,6166467,5943889,5660222,5320935,4955523,4592423,4229609,3862943,3489582,3122094
33,33,0,703887,1079211,1465746,1859949,2259286,2663445,3071042,3480340,3890830,4297102,4691520,5065803,5411647,5719049,5981408,6192733,6350626,6452815,6500294,6492919,6433418,6326948,6166467,5943889,5660222,5320935,4955523,4592423,4229609,3862943,3489582,3122094
34,34,0,703887,1079211,1465746,1859949,2259286,2663445,3071042,3480340,3890830,4297102,4691520,5065803,5411647,5719049,5981408,6192733,6350626,6452815,6500294,6492919,6433418,6326948,6166467,5943889,5660222,5320935,4955523,4592423,4229609,3862943,3489582,3122094
35,35,0,703887,1079211,1465746,1859949,2259286,2663445,3071042,3480340,3890830,4297102,4691520,5065803,5411647,5719049,5981408,6192733,6350626,6452815,6500294,6492919,6433418,6326948,6166467,5943889,5660222,5320935,4955523,4592423,4229609,3862943,3489582,3122094
